matrix,mode,threads,schedule,chunk,time_ms
matrix_mkt/bcspwr08.mtx,parallel (CSB),16,guided,10,0.076
matrix_mkt/bcspwr08.mtx,parallel (CSB),16,guided,50,0.088
matrix_mkt/bcspwr08.mtx,parallel (CSB),16,guided,100,0.074
matrix_mkt/bcspwr08.mtx,parallel (CSB),4,guided,0,0.070
matrix_mkt/bcspwr08.mtx,parallel (CSB),4,guided,1,0.083
matrix_mkt/bcspwr08.mtx,parallel (CSB),4,guided,10,0.066
matrix_mkt/bcspwr08.mtx,parallel (CSB),4,guided,50,0.082
matrix_mkt/bcspwr08.mtx,parallel (CSB),4,guided,100,0.070
matrix_mkt/bcspwr08.mtx,parallel (CSB),64,auto,0,4.146
matrix_mkt/bcspwr08.mtx,parallel (CSB),64,auto,1,5.076
matrix_mkt/bcspwr08.mtx,parallel (CSB),64,auto,10,0.497
matrix_mkt/bcspwr08.mtx,parallel (CSB),64,auto,50,0.276
matrix_mkt/bcspwr08.mtx,parallel (CSB),64,auto,100,1.107
matrix_mkt/bcspwr08.mtx,parallel (CSB),32,auto,0,0.124
matrix_mkt/bcspwr08.mtx,parallel (CSB),32,auto,1,0.108
matrix_mkt/bcspwr08.mtx,parallel (CSB),32,auto,10,0.112
matrix_mkt/bcspwr08.mtx,parallel (CSB),32,auto,50,0.108
matrix_mkt/bcspwr08.mtx,parallel (CSB),32,auto,100,0.113
matrix_mkt/bcspwr08.mtx,parallel (CSB),16,auto,0,0.070
matrix_mkt/bcspwr08.mtx,parallel (CSB),16,auto,1,0.076
matrix_mkt/bcspwr08.mtx,parallel (CSB),16,auto,10,0.082
matrix_mkt/bcspwr08.mtx,parallel (CSB),16,auto,50,0.072
matrix_mkt/bcspwr08.mtx,parallel (CSB),16,auto,100,0.079
matrix_mkt/bcspwr08.mtx,parallel (CSB),4,auto,0,0.072
matrix_mkt/bcspwr08.mtx,parallel (CSB),4,auto,1,0.075
matrix_mkt/bcspwr08.mtx,parallel (CSB),4,auto,10,0.068
matrix_mkt/bcspwr08.mtx,parallel (CSB),4,auto,50,0.069
matrix_mkt/bcspwr08.mtx,parallel (CSB),4,auto,100,0.068
matrix_mkt/bcspwr10.mtx,parallel (CSB),64,static,0,1.133
matrix_mkt/bcspwr10.mtx,parallel (CSB),64,static,1,0.521
matrix_mkt/bcspwr10.mtx,parallel (CSB),64,static,10,0.340
matrix_mkt/bcspwr10.mtx,parallel (CSB),64,static,50,1.139
matrix_mkt/bcspwr10.mtx,parallel (CSB),64,static,100,2.658
matrix_mkt/bcspwr10.mtx,parallel (CSB),32,static,0,0.169
matrix_mkt/bcspwr10.mtx,parallel (CSB),32,static,1,0.174
matrix_mkt/bcspwr10.mtx,parallel (CSB),32,static,10,0.149
matrix_mkt/bcspwr10.mtx,parallel (CSB),32,static,50,0.162
matrix_mkt/bcspwr10.mtx,parallel (CSB),32,static,100,0.149
matrix_mkt/bcspwr10.mtx,parallel (CSB),16,static,0,0.143
matrix_mkt/bcspwr10.mtx,parallel (CSB),16,static,1,0.119
matrix_mkt/bcspwr10.mtx,parallel (CSB),16,static,10,0.118
matrix_mkt/bcspwr10.mtx,parallel (CSB),16,static,50,0.130
matrix_mkt/bcspwr10.mtx,parallel (CSB),16,static,100,0.131
matrix_mkt/bcspwr10.mtx,parallel (CSB),4,static,0,0.164
matrix_mkt/bcspwr10.mtx,parallel (CSB),4,static,1,0.159
matrix_mkt/bcspwr10.mtx,parallel (CSB),4,static,10,0.176
matrix_mkt/bcspwr10.mtx,parallel (CSB),4,static,50,0.158
matrix_mkt/bcspwr10.mtx,parallel (CSB),4,static,100,0.165
matrix_mkt/bcspwr10.mtx,parallel (CSB),64,dynamic,0,0.630
matrix_mkt/bcspwr10.mtx,parallel (CSB),64,dynamic,1,1.649
matrix_mkt/bcspwr10.mtx,parallel (CSB),64,dynamic,10,1.165
matrix_mkt/bcspwr10.mtx,parallel (CSB),64,dynamic,50,1.131
matrix_mkt/bcspwr10.mtx,parallel (CSB),64,dynamic,100,0.442
matrix_mkt/bcspwr10.mtx,parallel (CSB),32,dynamic,0,0.157
matrix_mkt/bcspwr10.mtx,parallel (CSB),32,dynamic,1,0.162
matrix_mkt/bcspwr10.mtx,parallel (CSB),32,dynamic,10,0.169
matrix_mkt/bcspwr10.mtx,parallel (CSB),32,dynamic,50,0.171
matrix_mkt/bcspwr10.mtx,parallel (CSB),32,dynamic,100,0.153
matrix_mkt/bcspwr10.mtx,parallel (CSB),16,dynamic,0,0.150
matrix_mkt/bcspwr10.mtx,parallel (CSB),16,dynamic,1,0.136
matrix_mkt/bcspwr10.mtx,parallel (CSB),16,dynamic,10,0.127
matrix_mkt/bcspwr10.mtx,parallel (CSB),16,dynamic,50,0.139
matrix_mkt/bcspwr10.mtx,parallel (CSB),16,dynamic,100,0.121
matrix_mkt/bcspwr10.mtx,parallel (CSB),4,dynamic,0,0.172
matrix_mkt/bcspwr10.mtx,parallel (CSB),4,dynamic,1,0.154
matrix_mkt/bcspwr10.mtx,parallel (CSB),4,dynamic,10,0.164
matrix_mkt/bcspwr10.mtx,parallel (CSB),4,dynamic,50,0.158
matrix_mkt/bcspwr10.mtx,parallel (CSB),4,dynamic,100,0.181
matrix_mkt/bcspwr10.mtx,parallel (CSB),64,guided,0,1.129
matrix_mkt/bcspwr10.mtx,parallel (CSB),64,guided,1,1.633
matrix_mkt/bcspwr10.mtx,parallel (CSB),64,guided,10,1.128
matrix_mkt/bcspwr10.mtx,parallel (CSB),64,guided,50,6.691
