matrix,mode,threads,schedule,chunk,time_ms
matrix_mkt/bcspwr08.mtx,PAR,64,guided,100,0.080
matrix_mkt/bcspwr08.mtx,PAR,32,guided,0,0.082
matrix_mkt/bcspwr08.mtx,PAR,32,guided,1,0.082
matrix_mkt/bcspwr08.mtx,PAR,32,guided,10,0.063
matrix_mkt/bcspwr08.mtx,PAR,32,guided,50,0.046
matrix_mkt/bcspwr08.mtx,PAR,32,guided,100,0.039
matrix_mkt/bcspwr08.mtx,PAR,16,guided,0,0.049
matrix_mkt/bcspwr08.mtx,PAR,16,guided,1,0.051
matrix_mkt/bcspwr08.mtx,PAR,16,guided,10,0.040
matrix_mkt/bcspwr08.mtx,PAR,16,guided,50,0.033
matrix_mkt/bcspwr08.mtx,PAR,16,guided,100,0.030
matrix_mkt/bcspwr08.mtx,PAR,4,guided,0,0.026
matrix_mkt/bcspwr08.mtx,PAR,4,guided,1,0.025
matrix_mkt/bcspwr08.mtx,PAR,4,guided,10,0.024
matrix_mkt/bcspwr08.mtx,PAR,4,guided,50,0.022
matrix_mkt/bcspwr08.mtx,PAR,4,guided,100,0.020
matrix_mkt/bcspwr08.mtx,PAR,64,auto,0,0.064
matrix_mkt/bcspwr08.mtx,PAR,64,auto,1,0.057
matrix_mkt/bcspwr08.mtx,PAR,64,auto,10,0.062
matrix_mkt/bcspwr08.mtx,PAR,64,auto,50,0.062
matrix_mkt/bcspwr08.mtx,PAR,64,auto,100,1.253
matrix_mkt/bcspwr08.mtx,PAR,32,auto,0,0.035
matrix_mkt/bcspwr08.mtx,PAR,32,auto,1,0.033
matrix_mkt/bcspwr08.mtx,PAR,32,auto,10,0.035
matrix_mkt/bcspwr08.mtx,PAR,32,auto,50,0.033
matrix_mkt/bcspwr08.mtx,PAR,32,auto,100,0.033
matrix_mkt/bcspwr08.mtx,PAR,16,auto,0,0.029
matrix_mkt/bcspwr08.mtx,PAR,16,auto,1,0.026
matrix_mkt/bcspwr08.mtx,PAR,16,auto,10,0.026
matrix_mkt/bcspwr08.mtx,PAR,16,auto,50,0.025
matrix_mkt/bcspwr08.mtx,PAR,16,auto,100,0.027
matrix_mkt/bcspwr08.mtx,PAR,4,auto,0,0.021
matrix_mkt/bcspwr08.mtx,PAR,4,auto,1,0.019
matrix_mkt/bcspwr08.mtx,PAR,4,auto,10,0.020
